iter	Logloss
0	0.5720942447
1	0.4768416542
2	0.4112385196
3	0.3584092638
4	0.3192004617
5	0.2894631144
6	0.2684801055
7	0.2529663535
8	0.2410226582
9	0.2312070813
10	0.2239769012
11	0.2189109159
12	0.2135464722
13	0.2103242486
14	0.2067752789
15	0.204581509
16	0.2022023766
17	0.2001601551
18	0.1985071405
19	0.1976329989
20	0.1966415276
21	0.196156373
22	0.19548291
23	0.1946211904
24	0.1939992836
25	0.1936193468
26	0.1931261051
27	0.1926702011
28	0.1923064184
29	0.1920210166
30	0.1917079479
31	0.1914489156
32	0.1911219614
33	0.1909772235
34	0.1908370769
35	0.1906384531
36	0.1905153429
37	0.1903548736
38	0.1902376067
39	0.1900944032
40	0.1899925175
41	0.1898986822
42	0.189846106
43	0.1897212641
44	0.1895995164
45	0.1894891645
46	0.189369879
47	0.1893010684
48	0.1892235991
49	0.1891190122
50	0.1890896345
51	0.189012663
52	0.1889570001
53	0.1889185297
54	0.188844003
55	0.1887664992
56	0.1886966622
57	0.1886280841
58	0.1885809511
59	0.1885508961
60	0.1885320733
61	0.1884719299
62	0.1884099021
63	0.1883649408
64	0.1883431857
65	0.1882742824
66	0.1882428158
67	0.1882083298
68	0.1881791021
69	0.1881305915
70	0.1880955141
71	0.1880489943
72	0.1880125305
73	0.1879776592
74	0.1879384942
75	0.1879077839
76	0.187870825
77	0.1878486968
78	0.1878257876
79	0.1877946265
80	0.187757501
81	0.1877377734
82	0.187701438
83	0.1876734523
84	0.1876370661
85	0.1876017612
86	0.1875773632
87	0.187563213
88	0.1875452317
89	0.187534126
90	0.1875210797
91	0.1875051123
92	0.1874733442
93	0.1874628685
94	0.1874546568
95	0.187437651
96	0.1874222327
97	0.1873971057
98	0.1873806874
99	0.1873595018
100	0.1873325378
101	0.1873195885
102	0.1872978062
103	0.1872736403
104	0.1872471262
105	0.1872401791
106	0.1872288209
107	0.1872097424
108	0.187201622
109	0.1871826933
110	0.1871719932
111	0.1871467932
112	0.1871337786
113	0.1871217167
114	0.1871105528
115	0.1870945371
116	0.1870814244
117	0.1870620817
118	0.1870498959
119	0.1870315098
120	0.1870090186
121	0.1869805265
122	0.1869619006
123	0.1869472267
124	0.186936377
125	0.1869125991
126	0.1869036126
127	0.1868868245
128	0.186876114
129	0.1868584902
130	0.1868328187
131	0.1868095006
132	0.1867963462
133	0.1867786659
134	0.1867565433
135	0.1867402152
136	0.1867258063
137	0.1867113139
138	0.1866839752
139	0.1866689438
140	0.1866533805
141	0.1866340648
142	0.1866165424
143	0.1865913255
144	0.1865663798
145	0.186554049
146	0.186530459
147	0.1865181397
148	0.1865032908
149	0.1864879884
150	0.1864618798
151	0.186440204
152	0.1864271908
153	0.1864094396
154	0.1863949298
155	0.1863801726
156	0.1863588917
157	0.1863478532
158	0.1863378635
159	0.1863264948
160	0.1863081645
161	0.1862907044
162	0.1862772766
163	0.1862561272
164	0.1862355414
165	0.1862252423
166	0.1862074769
167	0.1861852727
168	0.1861644817
169	0.1861541476
170	0.1861390217
171	0.1861191933
172	0.1860977626
173	0.1860817243
174	0.1860659657
175	0.1860518496
176	0.1860322041
177	0.1860214639
178	0.1860073009
179	0.1859942658
180	0.185982355
181	0.1859663624
182	0.1859516206
183	0.1859356164
184	0.1859223288
185	0.1859046828
186	0.1858938066
187	0.1858835944
188	0.1858739396
189	0.1858562373
190	0.1858351509
191	0.1858216532
192	0.1858088076
193	0.1857851422
194	0.1857744816
195	0.1857650882
196	0.1857492556
197	0.1857327837
198	0.1857167406
199	0.1857009891
