iter	Passed	Remaining
0	173	34535
1	207	20526
2	236	15561
3	265	12987
4	299	11677
5	329	10649
6	368	10149
7	398	9565
8	431	9153
9	483	9186
10	525	9035
11	566	8879
12	615	8849
13	654	8692
14	699	8622
15	739	8500
16	777	8365
17	814	8232
18	857	8164
19	894	8049
20	934	7963
21	985	7975
22	1048	8070
23	1096	8043
24	1148	8038
25	1201	8037
26	1254	8039
27	1289	7918
28	1322	7798
29	1358	7695
30	1394	7602
31	1425	7481
32	1470	7443
33	1502	7334
34	1537	7247
35	1570	7156
36	1600	7051
37	1634	6968
38	1663	6866
39	1693	6775
40	1724	6687
41	1751	6590
42	1784	6513
43	1812	6425
44	1844	6354
45	1872	6268
46	1900	6188
47	1932	6118
48	1967	6064
49	2003	6011
50	2033	5942
51	2065	5877
52	2101	5827
53	2133	5768
54	2170	5721
55	2210	5683
56	2246	5634
57	2283	5591
58	2321	5548
59	2373	5537
60	2424	5525
61	2465	5487
62	2496	5429
63	2531	5378
64	2567	5333
65	2606	5291
66	2637	5235
67	2675	5193
68	2721	5166
69	2758	5123
70	2795	5079
71	2836	5042
72	2879	5010
73	2918	4969
74	2959	4933
75	2996	4888
76	3036	4850
77	3073	4807
78	3116	4774
79	3152	4729
80	3190	4687
81	3217	4630
82	3255	4589
83	3291	4544
84	3321	4493
85	3352	4444
86	3383	4395
87	3423	4357
88	3458	4313
89	3503	4282
90	3543	4244
91	3584	4208
92	3634	4181
93	3673	4142
94	3713	4104
95	3743	4055
96	3779	4013
97	3812	3967
98	3847	3925
99	3883	3883
100	3922	3844
101	3959	3804
102	3997	3764
103	4035	3725
104	4071	3683
105	4102	3638
106	4132	3591
107	4164	3547
108	4197	3503
109	4225	3457
110	4258	3414
111	4288	3369
112	4321	3327
113	4352	3283
114	4381	3238
115	4414	3197
116	4450	3157
117	4487	3118
118	4524	3079
119	4558	3039
120	4589	2996
121	4624	2956
122	4658	2916
123	4699	2880
124	4744	2846
125	4780	2807
126	4823	2772
127	4872	2740
128	4913	2704
129	4944	2662
130	4982	2624
131	5019	2585
132	5057	2547
133	5086	2505
134	5118	2464
135	5151	2424
136	5183	2383
137	5216	2343
138	5243	2301
139	5271	2259
140	5305	2220
141	5332	2178
142	5364	2138
143	5396	2098
144	5432	2060
145	5461	2020
146	5498	1982
147	5532	1943
148	5566	1905
149	5605	1868
150	5644	1831
151	5672	1791
152	5706	1752
153	5743	1715
154	5779	1677
155	5811	1639
156	5845	1600
157	5878	1562
158	5911	1524
159	5953	1488
160	5992	1451
161	6030	1414
162	6083	1380
163	6127	1345
164	6167	1308
165	6198	1269
166	6228	1230
167	6264	1193
168	6294	1154
169	6326	1116
170	6358	1078
171	6391	1040
172	6426	1002
173	6458	965
174	6483	926
175	6515	888
176	6554	851
177	6588	814
178	6622	776
179	6659	739
180	6688	702
181	6720	664
182	6752	627
183	6784	589
184	6813	552
185	6844	515
186	6875	477
187	6906	440
188	6937	403
189	6968	366
190	7000	329
191	7033	293
192	7069	256
193	7102	219
194	7144	183
195	7188	146
196	7226	110
197	7264	73
198	7305	36
199	7349	0
